Наименование продукта
"Мягкие вафли «Яшкино» с соленой карамелью, 120 г"
"Филе грудки индейки охлажденное, 0,8 - 1,6кг"
"Филе бедра цыпленка-бройлера, 800 г"
"Рулет куриный «Гордость фермера» с зеленью, 700 г"
"Драже «Yota» арахис в молочно-шоколадной и цветной сахарной глазури, 40 г"
"Драже «Yota» хрустящий шарик в малиновой глазури, 40 г"
"Котлеты куриные «Цыпле» филейные, 400 г"
"Драже «Yota» вафельный кубик в молочно-шоколадной глазури, 40 г"
"Маршмеллоу «Zerfer» Solo, 40 г"
"Конфеты вафельные «O'Zera» с ореховой начинкой, 150 г"
"Шоколадные конфеты «O'Zera» «LOVE», пралине с цельным фундуком, 230 г"
"Белый шоколад ручной работы «O’Zera Hand Made» с апельсином, вишней, малиной и цельным миндалем, 150 г"
"Шоколадные конфеты «O'Zera» «Thank You» трюфель в молочном шоколаде, 140 г"
"Шоколадные конфеты «O'Zera» Caramel Cream, 200 г"
"Шоколад горький «Bucheron» с миндалем, клюквой и фисташками, 100 г"
"Шоколад молочный «Toblerone» с медово-миндальной начинкой, 100 г"
"Молочный шоколад ручной работы «O’Zera Hand Made» с вишней, апельсином и орехом пекан, 150 г"
"Шоколад молочный «Bucheron» с кусочками малины, 100 г"
"Пломбир «Slendy» с кедровым орехом, 80 г"
"Пломбир «Slendy» с вареным сгущенным молоком, 80 г"
"Пломбир «Slendy» с клубничным наполнителем, 80 г"
"Мороженое «Твист» Крем-брюле, 73 г"
"Мороженое «Твист» Клубника и йогурт, 73 г"
"Мороженое «Твист» Шоколад и фисташка, 73 г"
"Пломбир «Дженс» ванильно-клубничный, 450 г"
"Мороженое «Lovesta» пломбир ванильный, 450 г"
"Мороженое «Lovesta» сливочное шоколадное в вафельном стаканчике, 70 г"
"Мини-круассан «Яшкино» с клубничным джемом, 180 г"
"Мини-круассаны «Яшкино» со сливочным кремом, 180 г"
"Круассан с шоколадной начинкой, 66 г"
"Пончик шоколадный, 60 г"
"Мороженое «Lovesta» пломбир ванильный в вафельном стаканчике, 70 г"
"Донат Кокосовый, 70 г"
"Торт «PRA», 580 г"
"Торт FUN BAN, 800 г"
"Торт KREMKA, 680 г"
"Десерт FUN BAN, 200 г"
"Сыр 50% «Grassan» с голубой благородной плесенью, 100 г"
"Эклеры «Версаль» шоколадные, 120 г"
"Десерт REDCAP, 120 г"
"Сыр 50% «White Cheese From Zhukovka» Камамбер с плесенью, 125 г"
"Растительный напиток 1.8% «Овсяша» из сои, 1 л"
"Сливки кокосовые «Mama Nature», 400 мл"
"Напиток овсяный 3.2% «Овсяша», 1 л"
"Молоко кокосовое «Mama Nature», 400 мл"
"Купаты «Боровково» Для жарки, 500 г"
"Спред растительно-жировой 72.5% «Сливочный Вкус», 180 г"
"Масло сливочное 82.5%, 180 г"
"Масло сливочное 72.5% «Ирмень», 200 г"
"Молоко 4% топленое, 450 г"
"Маргарин 55% «Чудесница» универсальный, 150 г"
"Творог 3.8% «Мама Лама» Манго, 100 г"
"Сыр 46% «Три короны» Фиорентина Фреско, 0,2 - 0,3кг"
"Творог 3.5% «Растишка» Клубника-банан и вкус пломбира, 270 г"
"Сыр 48% «Три короны» Пекорино Гранде, 0,2 - 0,3кг"
"Сливки 20% «Село Зеленое» стерилизованные, 200 г"
"Крем-паста «Санта Бремор» Антарктик Криль классический, 150 г"
"Сыр 40% «White Valley» Брынза по-итальянски из козьего молока, 0,2 - 0,3кг"
"Сельдь «Русское море» под шубу, 400 г"
"Сельдь «Рыбный хит» слабосоленая, 200 г"
"Шпинат, 50 г"
"Кинза, 30 г"
"Стебель сельдерея поштучно, 0,3 - 0,7кг"
"Груша Санта Мария поштучно, 0,15 - 0,25кг"
"Яблоки Гренни поштучно, 0,2 - 0,25кг"
"Капуста пекинская поштучно, 0,5 - 3кг"
Морковь мытая
Картофель Бейби
"Кабачки поштучно, 0,4 - 1кг"
"Огурцы колючие среднеплодные поштучно, 0,1 - 0,2кг"
Чеснок
"Редька маргеланская поштучно, 0,1 - 0,6кг"
"Свекла поштучно, 0,1 - 0,5кг"
Корень имбиря
"Капуста белокочанная поштучно, 1,5 - 5кг"
Картофель мытый
"Редис, 500 г"
"Перец красный поштучно, 0,1 - 0,4кг"
Лук репчатый красный
"Кукуруза сладкая, 450 г"
"Тыква бутылочка поштучно, 1,5 - 5кг"
"Томаты черри, 250 г"
"Томат коктейльный на ветке, 350 г"
Томаты розовые
Томаты сливовидные желтые
"Свекла отварная, 500 г"
Картофель красный
Томаты сливовидные красные
"Тыква очищенная, нарезанная, 500 г"
Лук репчатый белый
Мандарины Пакистан
"Ананас поштучно, 1,5 - 3кг"
"Свити, 0,5 - 1кг"
"Арбуз, 7 - 15кг"
"Гранат импорт, 0,4 - 0,8кг"
"Дыня Туркменка, поштучно, 3 - 10кг"
"Яблоко Симиренко поштучно, 0,1 - 0,2кг"
"Яблоки Голден поштучно, 0,2 - 0,3кг"
"Помело поштучно, 0,7 - 3кг"
"Яблоки Ред поштучно, 0,1 - 0,3кг"
Мандарины
"Груши Конференция поштучно, 0,2 - 0,4кг"
"Киви поштучно, 0,1 - 0,2кг"
"Дыня импорт, 2 - 5кг"
Авокадо 1 шт
"Гранат поштучно, 0,3 - 1кг"
"Грейпфрут поштучно, 0,2 - 0,8кг"
Виноград черный
Мандарины Марокко
"Яблоки Гала поштучно, 0,2 - 0,25кг"
"Лайм поштучно, 0,07 - 0,15кг"
"Укроп свежий, 50 г"
"Хурма Азербайджан, поштучно, 0,1 - 0,35кг"
"Минеола поштучно, 0,2 - 0,4кг"
"Салатный микс «Белая дача» Аликанте, 100 г"
"Набор зелени укроп, петрушка, лук, 80 г"
"Петрушка свежая, 50 г"
"Салат в горшочке, 120 г"
"Салатный микс Руккола, Радиччио, 75 г"
"Лук зелёный, 100 г"
"Салатный микс «Белая дача» Тоскана, 120 г"
"Руккола в горшочке, 40 г"
"Риет из трески «Shef Rillettes» с томатом и базиликом, 100 г"
"Морская капуста «Балтийский берег» с кальмаром, 250 г"
"Морская капуста «Балтийский берег» с сырным соусом, 250 г"
"Морская капуста по-корейски «Балтийский берег», 250 г"
"Морской микс «Меридиан» в рассоле, 180 г"
"Паста из филе тресковых рыб «Санта Бремор» Атлантик Фиш с лососем, 140 г"
"Мидии «Меридиан» в рассоле, 150 г"
"Крабовые палочки, 200 г"
"Риет «Меридиан» Лососевый, с мягким творогом, 100 г"
"Крабовое мясо «Vici» КрабОК, 200 г"
"Сельдь «Рыбный ряд» в масле, 150 г"
"Сельдь «Рыбный ряд» в томатном соусе, 150 г"
"Крабовые палочки «Vici» КрабОК, 200 г"
"Сельдь в майонезно-горчичном соусе «Рыбный ряд», 150 г"
"Сельдь в маринаде «Рыбный ряд», 350 г"
"Филе сельди «Санта Бремор» Матиас оригинал, 250 г"
"Сельдь «Балтийский берег» «По-царски» в масле, с дымком, 200 г"
"Сельдь «Балтийский берег» «По-царски» ароматная, 400 г"
"Салат «MARE» Чука в уксусно-масляной заливке, 250 г"
"Морская капуста «Время здоровья» Маринованная, 250 г"
"Салат «MARE» Чука в ореховом соусе, 250 г"
"Форшмак «Океан» Сельдь рубленая с яйцом, 165 г"
"Креветки «Меридиан» в рассоле, 180 г"
"Килька «Балтийский берег» Балтийская пряного посола, 400 г"
"Крабовые палочки «Русское море» Снежный краб, 150 г"
"Паштет «Океан» из трески тихоокеанской с огурцом, 170 г"
"Сельдь Бочковая «Русское море» пряного посола, 230 г"
"Форель слабосоленая «Дары океана», 150 г"
"Горбуша-скумбрия рубленая «Европром» с ароматом копчения, 180 г"
"Форель «Дары океана» слабосоленая, ломтики, 100 г"
"Сельдь «Рыбный хит» пряного посола, 1,3 кг"
"Сельдь «Рыбный ряд» слабосоленая, 0,2 - 0,4кг"
"Горбуша «Рыбный цех» холодного копчения, 100 г"
"Сельдь холодного копчения «Рыбный ряд», 0,2 - 0,7кг"
"Кета «Русское море» филе-кусок холодного копчения, 150 г"
"Скумбрия тушка «Рыбный ряд» без головы, холодного копчения, 280 г"
"Горбуша балык холодного копчения, 0,3 - 0,7кг"
"Клюква, 250 г"
"Масляная рыба «Дары океана» холодного копчения, 100 г"
"Треска с овощами в грибном соусе, 165 г"
"Сыр 50% «White Valley» твердый из козьего молока, 0,2 - 0,3кг"
"Сыр мягкий 45% «Pretto» Рикотта, 200 г"
"Шампиньоны свежие, 300 г"
"Голубика, 125 г"
"Сыр 70% «Violette» творожный сливочный, 140 г"
"Сыр Моцарелла 45% «Pretto» для бутербродов, 200 г"
"Сыр творожный 70% «Violette» c огурцами и зеленью, 140 г"
"Сыр 70% «Pretto» сливочный Кремчиз, 200 г"
"Сыр творожный 70% «Violette» с зеленью, 140 г"
"Сыр 40% «Alti» Камамбер плавленный, 125 г"
"Сыр плавленый 60% «Карат» с ветчиной, 200 г"
"Сыр плавленый 30% «Карат» шоколадный, 230 г"
"Сыр плавленый 45% «Карат» Дружба, 90 г"
"Сыр плавленый 45% «Карат» с грибами для супа, 90 г"
"Сыр плавленый 60% «Карат» Янтарь, 200 г"
"Сыр плавленый 50% «Деревенский сыр» с грибами для супа, 80 г"
"Сыр плавленый 45% «Карат» с луком, для супа, 90 г"
"Сыр плавленый Дружба 50% «Деревенский сыр», 80 г"
"Сыр плавленый 45% «Сыробогатов» Король сыров, 130 г"
"Икра красная имитированная «Балтийский берег», 220 г"
"Сыр плавленый 45% «Сыробогатов» «С ветчиной» слайсы, 8шт, 130 г"
"Икра «Здоровье» имитированная лососевая с кремом, 200 г"
"Икра красная имитированная «Сказка», 120 г"
"Сыр плавленный 25% «Сыробогатов» Для бургера, 112 г"
"Сыр плавленый «Сыробогатов» «Сырная тарелка» круг, 130 г"
"Сыр плавленый «Сыробогатов» «Мясное ассорти» круг, 130 г"
"Сыр 35% «Сиртаки» Classic для греческого салата, 200 г"
"Сыр 45% «Умалат» Сулугуни, 280 г"
"Сыр 45% «Unagrande» «Моцарелла» палочки, 120 г"
"Сыр 50% «Сармич» Сливочный, 200 г"
"Икра мойвы «Санта Бремор» с копченым лососем, 180 г"
"Сыр Российский 28.5%, 200 г"
"Сыр 45% «Сармич» Чеддер, 200 г"
"Сыр 50% «Киприно» Горный мастер, 180 г"
"Сыр 50% «Киприно» Швейцарский, 200 г"
"Сыр 45% «Сармич» Пармезан Премиум, 250 г"
"Сыр 45% «PRESIDENT» Брынза, 250 г"
"Сыр 60% «White Cheese From Zhukovka» Бри с плесенью, 125 г"
"Сыр плавленый 45% «PRESIDENT» Сливочный, 200 г"
"Сыр 40% «Город сыра» Гурманский в нарезке, 150 г"
"Сыр 45% «Сыробогатов» Гауда, в нарезке, 125 г"
"Сыр 40% «Село Зеленое» Гауда премиум, 200 г"
"Сыр 26% «Flaman» три перца, 200 г"
"Сыр 30% «Alti» Brie, с белой плесенью, 180 г"
"Сыр 50% «Сармич» Княжеский, 200 г"
"Сыр 50% Российский, 0,25кг"
"Сыр 45% «Сыробогатов» Тильзитер, в нарезке, 125 г"
"Сыр 50% «Село Зеленое» Тильзитер, 200 г"
"Сыр 50% «Село Зеленое» Сметанковый, 200 г"
"Сметана 15% «Простоквашино», 300 г"
"Творог 3.8% «Мама Лама» с черникой, 100 г"
"Сметана 20%, 350 г"
"Творог 2% «Алтайская Буренка», 450 г"
"Творог 3.8% «Мама Лама» клубника-банан, 100 г"
"Творог 2% «Алтайская Буренка», 250 г"
"Творог зерненый «Простоквашино» в сливках с клубникой, 140 г"
"Творог мягкий 0.1% «Простоквашино» Нежный, 130 г"
"Творог зерненый 5% «Простоквашино» в сливках c черникой, 140 г"
"Творог зерненый 5% «Простоквашино», 130 г"
"Сметана 10% «Простоквашино», 300 г"
"Сметана 15% «Простоквашино», 180 г"
"Сметана 20% «Простоквашино», 300 г"
"Сметана 20% «Ирмень», 400 г"
"Сметана 15% «Ирмень», 400 г"
"Сметана 15% «Простоквашино» из топленых сливок, 260 г"
"Сметана 10% «Ирмень», 400 г"
"Творог 5% «Ирмень», 500 г"
"Сметана 15% «Ирмень», 250 г"
"Творог «Ирмень» обезжиренный, 200 г"
"Масса творожная «СЫРКОФФ» с изюмом, 170 г"
"Творог 5% «Ирмень», 200 г"
"Творог 2%, 220 г"
"Творог 9%, 220 г"
"Творог 5%, 220 г"
"Творог обезжиренный, 450 г"
"Сливки 10% «Село Зеленое», 200 г"
"Молоко козье «Село Зеленое» ультрапастеризованное, 487 мл"
"Творог 9%, 180 г"
"Молоко 3.4% «Простоквашино» отборное, 930 мл"
"Молоко 3.2% «Тёма» детское, 200 мл"
"Молоко отборное 3.7% «Домик в деревне», 930 мл"
"Молоко концентрированное 7.1% «Шадринское» стерилизованное, 300 г"
"Молоко 2.5% «Ирмень», 950 г"
"Молоко 3.2% «Простоквашино» топленое, 930 мл"
"Молоко 2.5% «Простоквашино», 930 мл"
"Сливки 10% «Село Зеленое» стерилизованные, 500 г"
"Молоко 3.2% «Ирмень», 950 г"
"Молоко «Домик в деревне» Отборное, 3.4-4.5%, 1,4 л"
"Молоко 0.05% «Parmalat» безлактозное, 1 л"
"Молоко 2.5% «Домик в деревне», 1,4 л"
"Молоко 3.5% цельное, 850 г"
"Молоко 3.2% ультрапастеризованное, 950 г"
"Молоко 2.5% ультрапастеризованное, 950 г"
"Молоко 2.5%, 850 г"
"Биойогурт питьевой 2% «Слобода» с грушей и злаками, 260 г"
"Биойогурт питьевой 2% «Слобода» Клубника, 260 г"
"Биойогурт питьевой 2% «Слобода» Персик, 260 г"
"Коктейль йогуртный 2.7% «Даниссимо» Shake&Go Сорбет из сочной черной смородины, 190 г"
"Биойогурт 1% «Bio Баланс» Клубника, 270 г"
"Молоко 2.5% питьевое, пастеризованное, 450 г"
"Биойогурт 1% «Bio Баланс» Злаки, 270 г"
"Йогурт 2.5% «Алтайская Буренка» с ароматом абрикоса, 450 г"
"Биойогурт 1% «Bio Баланс» Черника-злаки, 270 г"
"Биотворог 5% «Тёма» классический, 100 г"
"Йогурт 2.5% «Алтайская Буренка» с ароматом клубники, 450 г"
"Биотворог 4.2% «Тёма» с яблоком, персиком и бананом, 100 г"
"Биотворог 4.2% «Тёма» с яблоком и морковью, 100 г"
"Биотворог 4.2% «Тёма» с грушей, 100 г"
"Биотворог 4.2% «Тёма» с клубникой и бананом, 100 г"
"Сырок 21% «Творобушки» с ванилью глазированный, 180 г"
"Сырок творожный 23% «СЫРКОФФ» с кокосом, глазированный, 40 г"
"Сырок творожный 23% «СЫРКОФФ» со сгущенкой, глазированный, 40 г"
"Сырок глазированный 23% «Простоквашино» со вкусом ванили, 40 г"
"Сырок глазированный 23% «Простоквашино» «Вареная сгущенка», 40 г"
"Сырок глазированный 23% «Простоквашино» со вкусом «клубничное варенье», 40 г"
"Сырок творожный 16.5% «СЫРКОФФ» с изюмом, 90 г"
"Сырок творожный 23% «СЫРКОФФ» «Картошка», глазированный, 40 г"
"Йогурт 6.9% «Даниссимо Фантазия» с хрустящими шариками в шоколаде, 105 г"
"Сырок творожный 19.5% «СЫРКОФФ» с ванилью, 90 г"
"Эрмигут молочный 3.2% «Ehrmann» Лесные ягоды, 100 г"
"Йогуртный продукт 3.2% «Эрмигурт» Персик-манго, 100 г"
"Йогурт 6.9% «Даниссимо Фантазия» с хрустящими шариками с ягодным вкусом, 105 г"
"Йогуртный продукт 7.5% «Ehrmann» Эрмигурт Клубника-земляника, 100 г"
"Йогурт питьевой 2.2% «Активиа» со злаками, 260 г"
"Йогурт питьевой 2% «Активиа» с черносливом, 260 г"
"Йогурт питьевой 2% «Активиа» с клубникой и земляникой, 260 г"
"Биойогурт 5% «Слобода» мюсли с яблоком, мандарином и орехом, 170 г"
"Биойогурт 3% «Активиа» с киви и мюсли, 150 г"
"Йогурт питьевой 2.5% «Epica» Гранат-апельсин, 260 г"
"Биойогурт 5% «Слобода» гранола и изюм, 170 г"
"Йогурт питьевой 2.5% «Epica» Киви-Виноград, 260 г"
"Биойогурт 2.9% «Активиа» с клубникой, 150 г"
"Биойогурт 2.9% «Активиа» с черносливом, 150 г"
"Сырок творожный глазированный 23% «Сыркофф Premium» Клубника, 40 г"
"Йогурт питьевой 2.9% «Epica» Натуральный, 260 г"
"Сырок творожный глазированный 16.5% «Сыркофф Premium» Персик-маракуйя, 40 г"
"Сырок творожный глазированный 23% «Сыркофф Premium» Ваниль, 40 г"
"Йогурт 4.8% «Epica» Ананас, 130 г"
"Йогурт 4.9% «Epica» Банан и злаки, 190 г"
"Йогурт 5% «Epica» Персик-маракуйя, 130 г"
"Йогурт 4.8% «Epica» Гранат-малина, 130 г"
"Йогурт 10.5% «Epica» Crispy с фисташками и смесью из семян подсолнечника, орехов и темного шоколада, 140 г"
"Йогурт 6% «Epica» Натуральный, 130 г"
"Йогурт 4.8% «Epica» вишня-черешня, 130 г"
"Йогурт 2.9% «Danone» с персиком, 110 г"
"Йогурт 5% «Epica» Манго и семена чиа, 130 г"
"Йогурт 8.6% «Epica» Crispy с лимоном и смесью из семян тыквы, печенья и белого шоколада, 140 г"
"Йогурт 2.9% «Danone» с клубникой, 110 г"
"Творожный продукт 3.6% «Danone» Малина, 170 г"
"Йогурт 2.8% «Danone» Персик-груша, 260 г"
"Йогурт 2.8% «Danone» Вишня-черешня, 260 г"
"Творожок 1.5% «Fitness Тime» Альбуминный, Ваниль, 100 г"
"Творожок 1.5% «Fitness Тime» Альбум, Шоколад, 100 г"
"Йогурт 3.3% «Danone» натуральный, 110 г"
"Йогурт 2.5% «EPOS» с черникой, 120 г"
"Йогурт питьевой «Yota» с персиком, 300 г"
"Йогурт 2.5% «EPOS» с вишней, 120 г"
"Йогурт питьевой «Yota» с клубникой, 300 г"
"Кисломолочный напиток 1.2% «Neo Имунеле» мультифрукт, 100 г"
"Йогурт питьевой «Yota» с вишней, 300 г"
"Йогурт питьевой «Yota» с черникой, 300 г"
"Кисломолочный напиток 1.2% «Neo Имунеле» земляника, 100 г"
"Биолакт 3.2% «Тёма» сладкий, 208 г"
"Кефир 1% «Ирмень», 950 г"
"Кефир 2.5% «Ирмень», 950 г"
"Биопродукт кефирный 1% «Bio Баланс», 930 г"
"Снежок 2.5%, 450 г"
"Ряженка 4%, 450 г"
"Кефир 2.5%, 900 г"
"Кисломолочный напиток 1.5% «Имунеле» яблоко-малина-шелковица, 100 г"
"Кисломолочный напиток 1.5% «Имунеле» Яблоко-голубика-манго, 100 г"
"Кефир 1%, 900 г"
"Кефир 2.5%, 850 г"
"Кефир 2.5%, 450 г"
"Печень говяжья свежемороженная, 0,8 - 2кг"
"Фрикадельки «Боровково» охлажденные, 300 г"
"Мякоть свиная «Боровково» охлажденная, 0,5 - 1,2кг"
"Фарш «Боровково» Деревенский, 400 г"
"Лопатка свиная «Боровково» в апельсиново-медовом маринаде, 0,6 - 1,6кг"
"Голубцы ленивые «Боровково», 400 г"
"Котлетки Домашние «Боровково» охлажденные, 400 г"
"Фарш «Гордость фермера» Говяжий, 400 г"
"Отбивная «Боровково» из карбонада, 400 г"
"Поджарка свиная «Боровково» охлажденная, 500 г"
"Шейка свиная «Боровково», 0,9 - 1,5кг"
"Рулька «Боровково» в маринаде, 0,7 - 1,2кг"
"Шашлык из свинины в сливочном маринаде «Боровково», 900 г"
"Мякоть говядины «Гордость фермера», 500 г"
"Карбонад «Боровково» в маринаде, 0,5 - 1кг"
"Коктейль молочный 3% «Чудо» Шоколад, 200 мл"
"Колбаски «Боровково» Для жарки, 400 г"
"Фарш «Боровково» Домашний, 600 г"
"Коктейль молочный 1.5% «Parmalat» Кофе Латте, 250 мл"
"Коктейль молочный 2% «Чудо» Клубника, 960 мл"
"Коктейль молочный 3.2% «Топтыжка» шоколадный, 200 г"
"Коктейль молочный 1.9% «Parmalat» Чоколатта, 250 мл"
"Коктейль молочный 3.2% «Топтыжка» клубника со сливками, 200 г"
"Сметана, 10%, 350 г"
"Фрикадельки с соусом Бешамель и картофельными дольками, 300 г"
"Гамбургер с курицей, 190 г"
"Влажный корм «Cesar» для взрослых собак, с говядиной и овощами в соусе, 85 г"
"Влажный корм «Cesar» для взрослых собак, с ягненком и овощами в соусе, 85 г"
"Влажный корм для кошек «Sheba» Ломтики в соусе с курицей и индейкой, 85 г"
"Какао-порошок «Галерея вкусов», 75 г"
"Тесто слоеное для домашних круассанов «Едим дома», 360 г"
"Пивной напиток «BUD Zero» безалкогольный, 450 мл"
"Пивной напиток «Essa» безалкогольный, Ананас и Грейпфрут, 450 мл"
"Тесто «Цезарь» слоеное бездрожжевое со сливочным маслом, 400 г"
"Жевательная резинка «Orbit» White XXL Нежная мята, 20 г"
"Тесто слоеное «Едим дома» пресное, 500 г"
"Напиток энергетический «Tornado» Energy ACTIVE безалкогольный, 450 мл"
"Кофе растворимый «Cafe Creme» сублимированный, 90 г"
"Кофе растворимый «Tchibo Gold» сублимированный, 48 г"
"Паштет «Perva» Сливочный с гусиной печенью, 95 г"
"Кофе растворимый «Жокей» Триумф, 75 г"
"Сервелат Кремлевский «Дымов», 380 г"
"Колбаса Докторская «СПК», 470 г"
"Колбаса Докторская «Рядна» с мясом птицы, 500 г"
"Кофе растворимый «Черная Карта» Premium, 75 г"
"Паштет «Диво» с говяжьей печенью и сливками, 150 г"
"Паштет «Perva» Деликатесный с говяжьей печенью, 95 г"
"Ветчина «Венеция», 450 г"
"Ветчина нежная, 400 г"
"Колбаса Докторская «Гордость фермера», 400 г"
"Ветчина Деликатесная, 400 г"
"Колбаса Нежная «Мясная коллекция», 400 г"
"Колбаса вареная «Гордость фермера» Докторская, 300 г"
"Колбаса вареная «Кузбасский пищекомбинат» Вятская, 320 г"
"Ветчина «Черкизово» Нежная из индейки, 450 г"
"Колбаса вареная «Мясная коллекция» Мясная, 400 г"
"Ветчина Сочная «Кузбасский пищекомбинат», 400 г"
"Колбаса «Провиньон» рубленая, 300 г"
"Колбаса «Гордость фермера» Фермерская, 300 г"
"Колбаса вареная «Гордость фермера» Молочная, 400 г"
"Ветчина «Провиньон» из индейки, 300 г"
"Ветчина «Гордость фермера» вареная в/у, 300 г"
"Колбаса «Провиньон» Филейная, 300 г"
"Сервелат Фирменный «СПК», 380 г"
"Колбаса Фестивальная, сырокопченая,в нарезке, 100 г"
"Колбаски «Дымов» Охотничьи, 240 г"
"Колбаса сырокопченая «Черкизово Премиум» Сальчичон, 100 г"
"Колбаса «Мясницкий ряд» «Верона» сыровяленая полусухая, в нарезке, 90 г"
"Колбаса «Велком» «Кальяри» сырокопченая, 235 г"
"Сервелат «Дымов» Валенсия, 380 г"
"Колбаса «Дымов» Коньячная, в нарезке, 90 г"
"Сервелат «Торговая площадь» ГОСТ, 380 г"
"Сервелат «Межениновская птицефабрика» Филейный, 400 г"
"Набор колбас «Велком» Брауншвейгская, Миланская, Велкомовская, в нарезке, 90 г"
"Колбаса сырокопченая «Casademont» Fuet экстра, 150 г"
"Сервелат «Кузбасский Бройлер» куриный, 340 г"
"Колбаски варено-копченые «Гордость фермера» К пиву, 240 г"
"Колбаса «Гордость фермера» Деревенская, 300 г"
"Сервелат «Кузбасский Бройлер» Швейцарский с сыром, 340 г"
"Сервелат «Дымов» Ореховый, 400 г"
"Колбаса «Elicatesse» Elicapreza сыровяленая, в нарезке, 100 г"
"Колбаса сырокопченая «Casademont» Fuet экстра, с сыром Casad, 110 г"
"Колбаса «Гордость фермера» «Вестфалия» варено-копченая, 340 г"
"Колбаса сырокопченая «Гордость фермера» Брауншвейгская, 200 г"
"Колбаса Карпатская «Мясная коллекция» полукопченая, 380 г"
"Колбаса полусухая «Di Salsi» Сопьяно, 250 г"
"Колбаса «Мясная коллекция» «Купчая», 380 г"
"Салями «Гордость фермера» Классическая, 250 г"
"Колбаса «Гордость фермера» Гранская, 280 г"
"Сардельки «Кузбасский пищекомбинат» Пикник, 480 г"
"Шпикачки «СибАгро» Москворецкие, 400 г"
"Сосиски «Торговая площадь» Баварские, 350 г"
"Колбаски вареные «Гордость фермера» Гриль, 300 г"
"Сардельки «Мясная коллекция» Сливочные, вареные, 400 г"
"Сосиски «СПК» молочные, 360 г"
"Сосиски «BigSos» Большая SOSиска, 340 г"
"Сосиски «Мясная коллекция» с сыром, 300 г"
"Колбаски «Дымов» Венгерские полукопченые, 240 г"
"Сосиски «Дымов» сливочные, 300 г"
"Сосиски «Мясная коллекция» Мясные, 390 г"
"Сосиски Швейцарские «Гордость фермера» вареные, 300 г"
"Грудка цыплёнка копчено-вареная, 0,7 - 1кг"
"Сардельки «Гордость фермера» Классические, 480 г"
"Сосиски «Гордость фермера» Молочные, 390 г"
"Пастрома «Межениновская птицефабрика» из мяса цыплят-бройлеров, запеченная, 0,15 - 0,35кг"
"Рулет куриный «Ясная горка» Пикантный, 350 г"
"Окорок «Останкино» сырокопченый в нарезке, 80 г"
"Рулет «Гордость фермера», 300 г"
"Чипсы мясные «Межениновская птицефабрика», 100 г"
"Свинина «Останкино» Мадера, 100 г"
"Говядина «Мясницкий ряд» Деликатесная, 100 г"
"Крылышки цыплят копчено-вареные, 0,2 - 0,4кг"
"Балык свиной «Мясницкий ряд» сыровяленый, 100 г"
"Окорок «Cortador» Prosciutto Cotto, в нарезке, 170 г"
"Бекон «Дымов» Венгерский, сырокопченый, 150 г"
"Рулет куриный «Межениновская птицефабрика» Орешек, 0,4 - 0,5кг"
"Колбаски «Черкизово» Мясной снек Сладкий чили, 70 г"
"Чипсы «Межениновская птицефабрика» из красного мяса цыплят-бройлеров, 100 г"
"Рулька «Мясная коллекция» копчено-вареная, 300 г"
"Колбаски «Черкизово» Мясной снек классический, 70 г"
"Шейка свиная «Гордость фермера» копчено-вареная, 300 г"
